대대분류,대분류,중분류,소분류,브랜드,오집 item_code,대산 제품명,제품명,디폴트,옵션 번들명,순서,옵션1 (규격),순서,옵션2 (재단여부),순서,옵션3 (색상),제품 색상,제조사 제품 코드,제품 규격,제품설명,활성,단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",추가일,"추가
 완료",비고
,,,,,,,,,,,,,,YL-2,영림181(PW965),영림181(PW965),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림182(PW965-1),영림182(PW965-1),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림183(PW966),영림183(PW966),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림184(PW966-1),영림184(PW966-1),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림185(PW966-3),영림185(PW966-3),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림186(PW967),영림186(PW967),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림187(PW967-1),영림187(PW967-1),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림188(PW967-2),영림188(PW967-2),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림189(PW967-3),영림189(PW967-3),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림190(PW968),영림190(PW968),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림191(PW968-1),영림191(PW968-1),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림192(PW969),영림192(PW969),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림193(PW969-1),영림193(PW969-1),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림203 윌로우(PW970),영림203 윌로우(PW970),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림204 (PW970-1),영림204 (PW970-1),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림205 (PW970-2),영림205 (PW970-2),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림206 (PW971),영림206 (PW971),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림207 (PW971-1),영림207 (PW971-1),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림208 (PW971-2),영림208 (PW971-2),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림209 (PW972),영림209 (PW972),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림210 (PW972-1),영림210 (PW972-1),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS022,PS022,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS030,PS030,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS032,PS032,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS038,PS038,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS040,PS040,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS041,PS041,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS044,PS044,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS045,PS045,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS046,PS046,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS049,PS049,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS050,PS050,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS054,PS054,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS061,PS061,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS062,PS062,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS063,PS063,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS065,PS065,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS066,PS066,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS072,PS072,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS077,PS077,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS078,PS078,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS082,PS082,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS083,PS083,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS094,PS094,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS095,PS095,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS096,PS096,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS098,PS098,,0,,,,,,,550,,,,,,,,
