대대분류,대분류,중분류,소분류,브랜드,오집 item_code,대산 제품명,제품명,디폴트,옵션 번들명,순서,옵션1 (규격),순서,옵션2 (재단여부),순서,옵션3 (색상),제품 색상,제조사 제품 코드,제품 규격,제품설명,활성,단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",추가일,"추가
 완료",비고,,,대대분류,대분류,중분류,소분류,브랜드,제품명
,,,,,,,,,,,,,,베이직,HW1071 더스트애쉬,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HW1072 헤이즐애쉬,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HW1073 브랜디오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HWB1076 워시베이지,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HW1078 세피아사펠레,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HW1079 세피아사펠레,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HWB1080 미스티엘름,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HWB1081 샌드엘름,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HWB1082 토프엘름,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HW1083 리브베이지,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HW1084 리브브라운,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HWB1061 디어애쉬,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HWB1063 애쉬라이트브라운,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,WA-03 HWB HWB1027 크림월넛,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,WA-04 HWB1011 락메이플,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,WA-09 HWB1014 브룩시더베이지(세로),,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,WA-10 HW1036 콰트로브룩클린(세로),,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,WA-11 HW1047 콰트로엄버(세로),,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,WA-12 HW1023 콰트로러스크(세로),,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,WA-13 HW1040 콰트로시에나(세로),,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림73 HS041 베이비그린,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림74 HS040 옐로우,,,,,,,,,,660,,,,,,,,,,,,,,,,
