,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20%,20%,40%,,,,,25%,,30%,,45%,,,,,,,,,,,,,,,
,,┏베스트┓,"┏베이직,솔리드┓","┏HP,메탈릭┓",┏매트┓,,,,┏베스트┓,"┏베이직,솔리드┓",,"┏메탈릭,HP┓",,┏매트┓,,,,,,,,,,,,,,,
브랜드,상품명,매입가,단가,단가,단가,,브랜드,상품명,공급가,단가,차액,단가,차액,단가,차액,,,베스트,,베이직,,솔리드,,HP,,메탈릭,,매트,
,■ 도색용 페이퍼,,,,,,,■ 도색용 페이퍼,,,,,,,,,,,베이직,HW1067 로즈탄오크,,,,,,,,,
,페이퍼_천정 1번 80*12,"6,000","7,200","7,200","8,400",,,페이퍼_천정 1번 80*12,"8,140",,,,,,,,,,베이직,HW1068 새들탄오크,,,,,,,,,
,페이퍼_라운드 걸레받이 80*9,"3,800","4,560","4,560","5,320",,,페이퍼_라운드 걸레받이 80*9,"5,170",,,,,,,,,,베이직,HW1071 더스트애쉬,,,,,,,,,
,페이퍼_마이너스 몰딩 25*15,"3,200","3,840","3,840","4,480",,,페이퍼_마이너스 몰딩 25*15,"4,400",,,,,,,,,,베이직,HW1072 헤이즐애쉬,,,,,,,,,
,페이퍼_각구문선(소) 42*12,"3,200","3,840","3,840","4,480",,,페이퍼_각구문선(소) 42*12,"4,400",,,,,,,,,,베이직,HW1073 브랜디오크,,,,,,,,,
,페이퍼_각구문선(대) 45*20,"4,500","5,400","5,400","6,300",,,페이퍼_각구문선(대) 45*20,"6,160",,,,,,,,,,베이직,HWB1076 워시베이지,,,,,,,,,
,페이퍼_액자몰딩 30*18,"3,800","4,560","4,560","5,320",,,페이퍼_액자몰딩 30*18,"5,170",,,,,,,,,,베이직,HW1078 세피아사펠레,,,,,,,,,
,페이퍼_배꼽몰딩 26*12,"3,000","3,600","3,600","4,200",,,페이퍼_배꼽몰딩 26*12,"4,070",,,,,,,,,,베이직,HW1079 세피아사펠레,,,,,,,,,
,페이퍼_배꼽몰딩 32*15,"3,500","4,200","4,200","4,900",,,페이퍼_배꼽몰딩 32*15,"4,730",,,,,,,,,,베이직,HWB1080 미스티엘름,,,,,,,,,
,,,,,,,,,,,,,,,,,,,베이직,HWB1081 샌드엘름,,,,,,,,,
,,,,,,,,,,,,,,,,,,,베이직,HWB1082 토프엘름,,,,,,,,,
,,,,,,,,,,,,,,,,,,,베이직,HW1083 리브베이지,,,,,,,,,
,,,,,,,,,,,,,,,,,,,베이직,HW1084 리브브라운,,,,,,,,,
,,,,,,,,,,,,,,,,,,,베이직,HWB1061 디어애쉬,,,,,,,,,
,,,,,,,,,,,,,,,,,,,베이직,HWB1063 애쉬라이트브라운,,,,,,,,,
,,,,,,,,,,,,,,,,,,,베이직,WA-03 HWB HWB1027 크림월넛,,,,,,,,,
,,,,,,,,,,,,,,,,,,,베이직,WA-04 HWB1011 락메이플,,,,,,,,,
,,,,,,,,,,,,,,,,,,,베이직,WA-09 HWB1014 브룩시더베이지(세로),,,,,,,,,
,,,,,,,,,,,,,,,,,,,베이직,WA-10 HW1036 콰트로브룩클린(세로),,,,,,,,,
,,,,,,,,,,,,,,,,,,,베이직,WA-11 HW1047 콰트로엄버(세로),,,,,,,,,
,,,,,,,,,,,,,,,,,,,베이직,WA-12 HW1023 콰트로러스크(세로),,,,,,,,,
,,,,,,,,,,,,,,,,,,,베이직,WA-13 HW1040 콰트로시에나(세로),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
